high_formula,high_mpid,low_formula,low_mpid,avg_voltage,battery_id
V2(PO4)3,mp-32469,LiV2(PO4)3,mp-1101601,4.246266257500002,mp-1101492_Li
TiO2,mp-766454,LiTi6O12,mp-757527,2.1041593350000176,mp-754937_Li
TiO2,mp-554278,LiTiO2,mp-777167,1.1619415912500002,mp-554278_Li
Li6MnO6,mp-763687,Li8MnO6,mp-770260,3.2969249549999993,mp-762421_Li
Li5MnO4,mp-775467,Li6MnO4,mp-770533,1.9923969849999899,mp-1185524_Li
Li5Mn6O16,mp-764823,Li3Mn3O8,mp-33461,4.680768449999993,mp-1174492_Li
Li3Mn3O8,mp-770608,Li4Mn3O8,mp-780711,3.714386297500004,mp-762516_Li
Cr(PO3)5,mp-705019,LiCr(PO3)5,mp-705030,5.42535104499999,mp-704942_Li
Cr(PO3)5,mp-705300,LiCr(PO3)5,mp-705315,5.86446910749999,mp-1101550_Li
LiCrP4O13,mp-1101523,Li2CrP4O13,mp-31739,5.105970760000025,mp-1101523_Li
Cr(PO3)4,mp-1178438,LiCr(PO3)4,mp-1172915,5.457314685000005,mp-1172915_Li
Li3Cr(PO4)2,mp-31746,Li4Cr(PO4)2,mp-31722,2.751102469999997,mp-31722_Li
Li2Cr(PO4)2,mp-697774,Li3Cr(PO4)2,mp-31723,4.6268158900000085,mp-31723_Li
Cr2P3O13,mp-540528,LiCr2P3O13,mp-705400,4.693817147500004,mp-540528_Li
Cr4P7O24,mp-585323,LiCr4P7O24,mp-1101527,4.03490969499993,mp-1101527_Li
LiCrP2O7,mp-697789,Li2CrP2O7,mp-689934,4.192007730000006,mp-689934_Li
V5(P3O11)2,mp-767351,Li4V5(P3O11)2,mp-763355,2.2053221037499973,mp-763355_Li
V2P2O9,mvc-12304,LiV2P2O9,mp-1013850,4.120713540000002,mp-1013850_Li
V3P3O13,mp-1047927,LiV3P3O13,mp-1013878,4.066260304999991,mp-1013878_Li
VPO4,mp-18835,LiVPO4,mp-761338,2.2492779999999946,mp-18835_Li
VPO4,mp-767632,LiVPO4,mp-761298,2.1316446525000052,mp-1176562_Li
CrPO5,mp-1046724,LiCrPO5,mp-540292,4.450509860000002,mp-1046724_Li
VPO4,mp-32453,LiV2(PO4)2,mp-767232,2.455004614999998,mp-32453_Li
VPO4,mp-861584,Li2V3(PO4)3,mp-773679,2.386283922500007,mp-773679_Li
V4(PO4)3,mp-1101205,LiV4(PO4)3,mp-763528,1.9091719749999974,mp-1101205_Li
